question5 = "Please describe what are users' rights related to the data items found in your response to question2"	20 clusters
CAGPT:  Right to Limit Use and Disclosure of Sensitive Personal Information
CAGPT:  Right to limit the use of sensitive personal information
CAGPT:  Right to limit the use of sensitive personal information
CAGPT:  Right to Limit Use and Disclosure of Sensitive Personal Information
CAGPT:  Right to Limit Use and Disclosure of Sensitive Personal Information
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information.
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information
CAGPT:  Sensitive Personal Information user right: Limit use and disclosure rights.
CAGPT:  The right to limit the use or disclosure of sensitive personal information
CAGPT:  Right to limit use and/or sharing of Sensitive Personal Information
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information
CAGPT:  Right to limit the use of sensitive personal information
CAGPT:  Right to Limit Use of Sensitive Personal Information.
CAGPT:  Right to limit use and disclosure of sensitive personal information
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information (Log-In and Financial Information)
CAGPT:  Right to limit the use of sensitive personal information.
CAGPT:  Right to limit the use or disclosure of sensitive personal information
CAGPT:  Right to limit sharing of personal information.
CAGPT:  Right to limit use and disclosure of Sensitive Personal Information
CAGPT:  Right to limit use and disclosure of sensitive personal information
CAGPT:  Right to limit the use or disclosure of sensitive personal information
CAGPT:  Right to Limit the Use of Sensitive Personal Information  
CAGPT:  Right to limit the use of sensitive personal information.
---------------------------
Cluster 14
CAGPT:  Right to Correct
CAGPT:  Right to correct
CAGPT:  The right to correct
CAGPT:  Right to Correct
CAGPT:  Right to Correct
CAGPT:  Right to Correct
---------------------------
Cluster 15
CAGPT:  Sensitive personal information user right - Access, deletion, correction
CAGPT:  Sensitive Personal Information user right: Request disclosure, deletion, correction, and access; limit use and disclosure.
CAGPT:  Sensitive personal information user right to request disclosure, deletion, and correction
CAGPT:  Sensitive personal information user right: Right to request access, correction, or deletion
CAGPT:  Personal Information user right is to request access, correction, or deletion
CAGPT:  Sensitive Personal Information user right is to request access, correction, or deletion
CAGPT:  Sensitive Personal Information user right to request disclosure, deletion, and correction
CAGPT:  Sensitive personal information user right: Request disclosure, deletion or correction, limit use or disclosure.
---------------------------
Cluster 16
CAGPT:  Right to Know 
CAGPT:  Right to Know
CAGPT:  The right to know
CAGPT:  Right to Know
CAGPT:  Right to Know
---------------------------
Cluster 17
CAGPT:  Right to Non-Discrimination
CAGPT:  Right to non-discrimination
CAGPT:  Right to non-discrimination
CAGPT:  Right to Non-Discrimination
CAGPT:  Right to Non-discrimination
CAGPT:  Right to non-discrimination for exercising any of the described rights
---------------------------
Cluster 18
CAGPT:  Audio, electronic, or visual information user right includes right to know, delete, correct.
CAGPT:  Audio, electronic, visual, or similar information user right: Right to access, delete, and correct.
CAGPT:  Audio, electronic, visual information user right: Right to access and delete.
CAGPT:  Audio, electronic, visual, or similar information user right to request disclosure, deletion, and correction
CAGPT:  Audio, electronic, visual, thermal, olfactory, or similar information user right to access, know, opt-out, delete, correct
CAGPT:  Audio, electronic, visual, or similar information user right: Right to request access, correction, or deletion
CAGPT:  Audio, electronic, visual, thermal, olfactory, or similar information user right to request disclosure, deletion, and correction
CAGPT:  Audio, electronic, visual, thermal, olfactory, or similar information user right to know, correct, delete and opt-out of sale or sharing.
---------------------------
Cluster 19
CAGPT:  Right to request deletion of personal information collected and retained, subject to certain exceptions.\n
CAGPT:  Right to request deletion of personal information we have collected and retained, subject to certain exceptions
CAGPT:  The right to request that we delete any of your Personal Information that we collected from you and retained, subject to certain exceptions
CAGPT:  Right to request that we delete any of your personal information that we collected from you and retained, subject to certain exceptions.
---------------------------
Unclassified Clusters 
GPT:  Users have the right to restrict certain processing of their data.
GPT:  Users in the EEA have the right to lodge a complaint with their local data privacy authority regarding the processing of their personal data.
GPT:  Right to erasure of personal data under certain conditions.
GPT:  Right to delete browsing and interaction data
GPT:  Right to update social media usernames and interactions
GPT:  Right to correct inaccurate financial information.
GPT:  Right to erase device and connection information when no longer needed.
GPT:  Users have the right to request deletion of their payment information, except when retained for legal or transaction completion needs
GPT:  Users have the right to opt-out of having their credit and identifier information used for purposes outside of the initial collection purpose
GPT:  Users have the right to be informed about the collection and use of their employment application information
GPT:  Users have the right to access and request deletion of warranty-related information where applicable
GPT:  Users have rights related to the correction and deletion of demographic information collected
GPT:  Users have rights to access, correct, and opt-out of location information collection and processing
GPT:  Users have the right to participate anonymously in surveys and polls, and to access or delete their responses if personally identifiable
GPT:  Users have rights to manage cookies and browser-related information collection settings
GPT:  Right not to have personal information retained for reasons other than maintenance of a "Do-Not-Contact" list
GPT:  Right to have personal information used, sold, or transferred in accordance with legally permissible purposes
GPT:  Personal Login Information user right: Users have the right to access, amend, or delete their information, subject to applicable law.
GPT:  Contact Information and Identifiers user right: Users have the right to access, amend, or delete their information, subject to applicable law.
GPT:  Personal Information user right: Users have the right to access, amend, or delete their information, subject to applicable law.
GPT:  Right to request erasure of Personal Information where it is inaccurate or no longer needed for the purposes for which it was collected
GPT:  You have the right to ask Ariat for copies of your personal information held by them.
GPT:  You have the right to request Ariat to erase your personal information in certain situations.
GPT:  Contact Information user right to review and correct
GPT:  Billing information user right to review and correct
GPT:  Equipment, performance, Arvig website usage, viewing and other technical Information user right to review and correct
GPT:  Right to make inquiries or complaints regarding the collection, use, disclosure, or security of their personal information
GPT:  Right to obtain confirmation of personal information being held
GPT:  Right to obtain the source of personal information
GPT:  Right to object to uses or disclosures of personal information
GPT:  Non-Personal Information user right: applicable based on jurisdiction and specific user rights related to data privacy.
GPT:  Information about your actions in connection with the Services user right: same as Personal Information rights where applicable.
GPT:  Right to opt out of email communications by following unsubscribe links
GPT:  Right to access and control personal information for California residents as per California Privacy Notice
GPT:  Right for Nevada consumers to register an email address for opt-out opportunities
GPT:  Right to manage tracking technologies and cookies settings.
GPT:  Name user right - Right to opt-out of marketing communications
GPT:  E-mail address user right - Right to unsubscribe from marketing emails; Right to opt-out of third-party sharing
GPT:  Phone number user right - Right to opt-out of text messaging services
GPT:  Right to update preferences and ask for information removal from marketing mailing lists
GPT:  Right to access, review, update, and correct inaccuracies in personal information in custody and control
GPT:  Right to request a list of certain categories of personal information disclosed to third parties for their direct marketing purposes (California residents)
GPT:  Right to opt out of ad network interest-based advertising
GPT:  Account Information user right: Users can access, modify, or delete their account information.
GPT:  Online Purchases and Billing Information user right: Users have the right to access and request deletion of their purchase history.
GPT:  In-Store Transactions user right: Customers can request access to or correction of transaction data.
GPT:  Right to access, delete and correct personal data  
GPT:  Right to equal service and price, even if you exercise your privacy rights.
GPT:  Right to request the transfer of personal data
GPT:  Right to request human intervention for automated decision making
GPT:  Email address user right to opt-out of marketing communications
GPT: . Telephone numbers user right to request deletion under certain circumstances
GPT:  User has the right to opt-out of having their email address used for promotional offers by the Company
GPT:  User has the right to manage tracking technologies and advertising preferences, including refusing browser cookies or Flash cookies
GPT:  User has the right to control the collection and use of their information by third parties for interest-based advertising
GPT:  Right to request the modification of personal information
GPT:  Right to opt-out of push notifications
GPT:  Right to control location information settings on devices
GPT:  User right to access their personal information
GPT:  User right to erase personal information under certain conditions
GPT:  User right to object to processing of their personal information for direct marketing, scientific, historical research, or statistical purposes
GPT:  Right to have personal data erased (EU residents) or deleted (California consumers)
GPT:  Contact information user right includes the right to access, rectify, or delete their personal information.
GPT:  Economic information user right includes the right to object to its processing and request for deletion under certain conditions.
GPT:  Login information user right includes the right to access, rectify, or request the deletion of their personal information.
GPT:  Users have the right to restrict processing or withdraw consent for the use of their personal information, except where processing of a purchase of products or services has been completed.
GPT:  Users have the right to request access to their name, email address, phone number, city/state/zip code data.
GPT:  Users have the right to request corrections to their preferences based on site activity.
GPT:  Users have the right to object to the processing of their location or IP address data.
GPT:  Right to access personal information in a portable format.
GPT:  Rights related to automated decision making and profiling
GPT:  You have the right to withdraw consent where you have previously provided consent to the collection and processing of data.
GPT:  You have the right to object to processing of your personal data, including with regards to profiling.
GPT:  You have the right to obtain confirmation as to whether or not personal data concerning you are processed, and, where that is the case, you have the right to request and get access to that personal data.
GPT:  You have the right to obtain from CORSO the rectification of inaccurate personal data.
GPT:  You have the right to obtain from CORSO the erasure of your personal data in certain cases.
GPT:  You have the right to receive your personal data in a structured, commonly used, and machine-readable format and you have the right to transmit such personal data to another controller.
GPT:  Users have the right to correct any inaccuracies in their account information.
GPT:  Users have the right to opt-out of cookies and targeted advertising.
GPT:  Internet Activity user right to opt-out of tracking and data use
GPT:  Right to understand personal data use.
GPT:  Right to disable Criteo services and withdraw consent.
GPT:  Right to contact Criteo regarding personal data concerns.
GPT:  Right to request transfer of your personal data to another party
GPT:  Users have the right to access their personal identifiers.
GPT:  Users have the right to object to or limit the use of their protected classification characteristics.
GPT:  Right to privacy and security of Personal Information with reasonable protection measures
GPT:  Users have the right to opt out of communications.\n
GPT:  Contact information user right to access, review, update, or request deletion
GPT:  Preferences and shopping interests user right to opt-out of marketing communications
GPT:  Location information user right to manage location settings and consent
GPT:  Users have the right to correct, update, or delete their registration account information.
GPT:  Users have the right to choose or change their choices for subscriptions, newsletters, and alerts.
GPT:  Users have the right to modify their email subscriptions.
GPT:  Users have the right to delete their online account information from the database.
GPT:  Residents of California have specific rights related to their personal information.
GPT:  Users have the right to opt-out of the texting program by replying STOP or following the unsubscribe instructions.
GPT:  Users can object to certain uses of their information and can update their preferences regarding commercial communications.
GPT:  Users have the right to withdraw consent for the processing of their personal information and to request data portability.
GPT:  Users have the right to refuse to provide Personal Information, which might lead to inability to use certain Site features.
GPT:  Users have the right to request removal of their information from Earnest systems, unless prohibited by law.
GPT:  Users have the right to withdraw consent for credit history authorization at any time by contacting Earnest.
GPT:  Right to be informed about data collection and sharing practices
GPT:  Right to object to processing of personal data for profiling or targeted advertising
GPT:  User right to access their Contact Information
GPT:  User right to correct their Demographic Information
GPT:  User right to delete their Account Information
GPT:  Personal Information user right to inquire and request access
GPT:  Anonymized Information user rights not specifically mentioned
GPT:  Cookies information user right to control through browser settings
GPT:  Users have the right to access and download their Personal Data in a machine-readable form.
GPT:  Users have the right to object to certain uses of their Personal Data, such as targeted advertising.
GPT:  Technical Data user right: The right to access, ensure data is accurate, complete, up-to-date, amend, and object to processing.
GPT:  Contact Details user right: The right to access, ensure data is accurate, complete, up-to-date, amend, and object to processing.
GPT:  Online Identifiers user right: The right to access, ensure data is accurate, complete, up-to-date, amend, and object to processing.
GPT:  Posting a Comment information user right: The right to access, ensure data is accurate, complete, up-to-date, amend, and object to processing.
GPT:  Email address user right to opt-out of promotional communications
GPT:  Contact information user right to update information
GPT:  Right to opt-out of commercial email messages
GPT:  Right to manage third-party data collection and advertisement preferences
GPT:  Object to processing personal data right
GPT:  Personal data transfer right
GPT:  Withdraw consent for processing personal data right
GPT:  Request access to your personal data
GPT:  Request correction of your personal data
GPT:  Object to processing of your personal data
GPT:  Request the transfer of your personal data
GPT:  Name user right to correct inaccuracies, delete, or obtain a copy
GPT:  Address user right to correct inaccuracies, delete, or obtain a copy
GPT:  Phone number user right to correct inaccuracies, delete, or obtain a copy
GPT:  Email address user right to correct inaccuracies, delete, or obtain a copy
GPT:  Cookie data user right to opt-out of certain processing activities
GPT:  IP address user right not specifically mentioned
GPT:  User-Created Data user right to correction
GPT:  Transaction Data user right to request erasure
GPT:  Financial Data user right to request access and correction
GPT:  Right to request deletion of inaccurate, incomplete, or outdated information
GPT:  Right to object to the use of data where there are compelling legitimate grounds
GPT:  Right to direct a business not to sell or share their personal information
GPT:  Name and contact information user right: Request information concerning the disclosure of personal information to third parties for their direct marketing uses.
GPT:  Driverâ€™s license number user right: Right to know the nature of the personally identifiable information collected and how it may be used.
GPT:  Social Security Number user right: Right to limit or prohibit the disclosure of CPNI for marketing services other than those currently provided.
GPT:  Right to access and correct name
GPT:  Right to access and correct date of birth
GPT:  Right to access and correct sex and/or gender
GPT:  Right to access and correct address
GPT:  Right to access and correct email address
GPT:  Right to access and correct phone number
GPT:  Right to access and correct login information
GPT:  Right to access and correct sensitive personal information including health information and medical history
GPT:  Right to access and correct photos
GPT:  Right to access and correct government issued identification information
GPT:  Right to access and correct online orders
GPT:  Right to access and correct professional and employment information
GPT:  Right to access and correct promotions preferences
GPT:  Right to access and correct social media account information
GPT:  Right to access and correct financial account information
GPT:  Right to access and correct payment card number
GPT:  Demographic information right: Users have the right to access, correct or delete their demographic information.
GPT:  Preferences for communications right: Users can manage or withdraw their communication preferences.
GPT:  Right to contact us to ask questions about our privacy practices
GPT:  Right to know about the sharing of personal information with third parties
GPT:  Users have the right to access and update their biographical and demographic information.
GPT:  Users have the right to be informed about the collection and use of their purchase and customer service history.
GPT:  Right to obtain a copy of their Personal Information to transmit to another company.
GPT:  Right to access and rectification
GPT:  Right to object
GPT:  Right to rectify Diagnostic data
GPT:  Right to erase Personal data shared through the Services
GPT:  Right to port Credit card or debit card information
GPT:  Right to object to the processing of Information regarding Services accessed
GPT:  Right to access and rectify Contact history
GPT:  Right to restrict processing of Usage data
GPT:  Right to information on Marketing and communications data processing
GPT:  Right to control Personal Data shared via third-party social media
GPT:  Right to information on Personal Data collected from third-party sources
GPT:  Right to unsubscribe from mailing lists for name
GPT:  Right to unsubscribe from mailing lists for email address
GPT:  Right not explicitly mentioned for mailing address (billing and shipping)
GPT:  Right not explicitly mentioned for phone number
GPT:  Right not explicitly mentioned for credit card information
GPT:  Right not explicitly mentioned for IP address
GPT:  Right not explicitly mentioned for browser name
GPT:  Right not explicitly mentioned for type of computer
GPT:  Right not explicitly mentioned for operating system
GPT:  Right not explicitly mentioned for Internet service provider(s)
GPT:  Right to have personal information erased or use restricted
GPT:  Right to complain to a supervisory authority if unhappy with how personal information is handled
GPT:  Right to request limitation on the use of Personally Identifiable Information solely for health insurance assistance.
GPT:  Right to opt out of marketing communications and control over cookie/beacon use.
GPT:  Right to review, correct, or delete your Personally Identifiable Information.
GPT:  Users have the right to access and update their company information.
GPT:  Users have the right to access and update their Hilti identification number.
GPT:  Users have the right to access and update their other technical online identifiers.
GPT:  Users have the right to access and update their email address.
GPT:  Users have the right to access and update their phone number.
GPT:  Users can review and change their personal information by logging into the Website and visiting their account profile page.
GPT:  Users can request access to, correct, or delete any personal information that they have provided.
GPT:  Users in certain states may have additional rights, including confirming whether their personal information is being processed, accessing and deleting certain personal information, data portability, and opting out of personal data processing for targeted advertising and sales.
GPT:  Users may also have rights to correct inaccuracies in their personal information, taking into account the informationâ€™s processing purpose.
GPT:  Users have the right to opt out of receiving targeted ads from members of the Network Advertising Initiative.
GPT:  Users can update or correct their personally identifiable information as needed for accuracy and to reflect personal preferences.
GPT:  Users may request the deletion or removal of their personal information from Holley's systems.\n
GPT:  Email address user right includes access, correction, erasure, and portability.
GPT:  First name and last name user right includes access, correction, erasure, and portability.
GPT:  Phone number user right includes access, correction, erasure, and portability.
GPT:  Address, State, Province, ZIP/Postal code, City user right includes access, correction, erasure, and portability.
GPT:  Usage Data user right includes objection and, in some contexts, erasure.
GPT:  Location Data user right includes objection and, where processing is based on consent, withdrawal of consent.
GPT:  Cookies Data user right includes consent withdrawal and objection to tracking for non-essential purposes.
GPT:  Users have the right to request that the company correct, amend, or delete any inaccurate financial information.
GPT:  Users have the right to review their Personal Information that the company could reasonably locate and retrieve.
GPT:  Users residing in California, Colorado, Connecticut, Utah, Virginia have additional rights such as the right to know, access, and delete certain Personal Information.
GPT:  Users have the right to correct, update, and delete their registration account information.
GPT:  Users have the right to choose or change their preferences for subscriptions, newsletters, and alerts.
GPT:  Users have the right to control the sharing of their personal information with other companies for marketing purposes.
GPT:  Users have the right to control targeted advertising and make choices regarding cookies and tracking technologies.
GPT:  The right to access and update contact information
GPT:  The right to request deletion of billing information
GPT:  The right to access and update rÃ©sumÃ© and job application information
GPT:  The right to access and update health and immunization information
GPT:  The right to control web behavior tracking technologies
GPT:  The right to manage geolocation tracking preferences
GPT:  The right to manage social media information sharing
GPT:  Users can request the deletion or restriction of their Account Registration Information.
GPT:  Users can object to certain uses of their Communications and Inquiries.
GPT:  Users have rights related to consent and withdrawal regarding Cookies and Similar Technologies.
GPT:  Users can access or request deletion of their Device and Usage Information, subject to legal and operational constraints.
GPT:  Name user right - Right to access, rectify, or erase
GPT:  Payment information user right - Right to access, rectify, or erase
GPT:  Right to object to the use of their personal information for direct marketing, scientific, historical research, or statistical purposes
GPT:  Users have the right to request access to Personal Identifiers
GPT:  Users have the right to opt-out or request deletion of Internet Activity
GPT:  Users have the right to request correction or deletion of Commercial Information
GPT:  Users have the right to access, review, modify, and delete their personal information that Jivetel processes.
GPT:  Users from the EEA have rights to object to or restrict processing of their personal information, request portability, withdraw consent, and lodge a complaint with a data protection authority.
GPT:  California residents have specific privacy rights including receiving information about third-party disclosures and can request to be removed from mailing lists.
GPT:  Right to opt-out of data collection processes
GPT:  Billing address user right to access and correct.
GPT:  Identity Data user right to request access, correction, erasure, or object to processing.
GPT:  Contact Data user right to withdraw consent for its processing for marketing.
GPT:  Financial Data user right to secure processing and specified retention periods.
GPT:  Users have the right to access and change their Personally Identifiable Information
GPT:  Users have rights related to how their Usage Information is collected and used
GPT:  Users have rights regarding information provided to or collected by third parties
GPT:  Recover and change certain personal information via registered user accounts
GPT:  Opt-out of receiving, seeing, and/or tracking-based ads through third-party management processes
GPT:  Access to information, review, and consent over how geolocation data is used in telematics programs
GPT:  Right to know whether and for what purposes personal information is processed.
GPT:  Right to object to processing, request restriction of processing, and withdraw consent for processing.
GPT:  Users have the right to opt out of certain processing activities
GPT:  Users have the right to appeal decisions related to their privacy requests
GPT:  Users have the right to request access to their name.
GPT:  Users have the right to update or correct their email address.
GPT:  Users have the right to request deletion of their street address.
GPT:  Users have the right to know how their payment information is being used.
GPT:  Users have the right to object to the processing of their demographics and preferences.
GPT:  Users have the right to request access to, correct, or delete their browsing habits and website interaction data.
GPT:  To opt-out of marketing communications: You can manage preferences through your LendingTree profile or by visiting their opt-out page.
GPT:  To control cookies and tracking: Adjust device or browser settings; refer to device settings or browserâ€™s â€œHelpâ€ section.
GPT:  To control interest-based advertising: Use web browser and mobile device settings to opt-out or use tools like AppChoices for mobile apps.
GPT:  Right to access PI collected or retained
GPT:  Right to know specific PI collected, categories of PI, sources from which PI is collected, business purpose(s) for collecting or sharing PI, categories of PI disclosed for business purposes, and categories of third parties to whom PI may be sold or shared
GPT:  Access and opt-out of automated decision making including profiling
GPT:  Right to object to, limit, or restrict use of data
GPT:  Right to access and/or take personal data in machine-readable form
GPT:  User right to change, correct, or update personal data.
GPT:  User right to access and/or take their personal data in a machine-readable format.
GPT:  Users have the right to privacy and security procedures protecting their Personal Information.
GPT:  Users have the right to opt-out of receiving postal, email, fax or phone calls
GPT:  Users have the right to access their personal information retained by Marleylilly.
GPT:  Right to refuse or manage browser and Flash cookies.
GPT:  Right to prevent targeted behavioral advertising.
GPT:  California residents' right to request non-disclosure of personal information for marketing purposes.
GPT:  Right to access and correct personal information collected by Marvin.
GPT:  Identifying Information user right to access, modify or delete
GPT:  Purchase and Customer Service Information user right to review, correct or remove
GPT:  Communications and Interactions user right to access and request correction or deletion
GPT:  Event Information user right to access and request changes
GPT:  Marketing Preferences user right to update preferences or opt-out
GPT:  Social Media Information user right to control visibility and manage settings
GPT:  Device and Technical Information user right to secure and manage through device settings
GPT:  Activities and Usage user right to review and manage data collection settings
GPT:  Location Information user right to control collection through device settings
GPT:  Users have the right to review and update certain Personal Information through their Masonite Account
GPT:  Users have the right to opt out of certain Masonite-offered features and manage privacy preferences
GPT:  First and last name user right: To request modification or deletion by emailing or submitting a help desk ticket.
GPT:  Email address user right: To change some personal information by editing Product profile or request modification by emailing.
GPT:  Academic Institution user right: To review, request deletion, or request no further collection or use by contacting us.
GPT:  Right to delete or restrict processing of government ID
GPT:  Right to object to the processing of images and video recordings
GPT:  Right to correct inaccuracies in payment details
GPT:  Right to opt-out of the use of device identifiers for tracking purposes
GPT:  IP address user right includes the right to access, rectify, or erase their data under GDPR.
GPT:  Device and browser information user right includes the right to data portability and objection to processing.
GPT:  Navigation data user right includes the right to access, object to processing, and withdraw consent for data usage.
GPT:  Users have the right to access their server address upon request.
GPT:  Users have the right to verify the accuracy of their personal information collected.
GPT:  Users have the right to know how long their data is retained and the purposes for which it is used.
GPT:  Users have the right to verify, correct, update, or delete their account information.
GPT:  Users have the right to adjust marketing and notification preferences, including opting out of receiving promotional emails and push notifications.
GPT:  Users have the right to control online tracking and advertising preferences and opt out of the â€œsellingâ€ or â€œsharingâ€ of their â€œpersonal informationâ€ or of â€œtargeted advertising.â€\n
GPT:  Full name user right to access, correct, delete
GPT:  Phone number user right to access, correct, delete
GPT:  Resume data user right to access, correct, delete
GPT:  Banking information user right to access, correct, delete
GPT:  Social Security or Tax Identification number user right to access, correct, delete
GPT:  Internet Protocol address user right to access, correct, delete
GPT:  Account name user right to access, correct, delete
GPT:  Employment history user right to access, correct, delete
GPT:  Right to opt-out of marketing emails for non-personally identifiable information
GPT:  Right to have personally identifiable information used only as described in the privacy policy
GPT:  Right to be informed of the collection of information about internet connection and equipment used to access the website
GPT:  Name user right to review, correct, update, suppress, restrict, delete, or object to processing
GPT:  Telephone number user right to withdraw consent for processing where consent is the lawful basis
GPT:  Online Activity and Browsing Information user right to manage cookie preferences and opt-out of interest-based advertising
GPT:  Right to view any Personal Information collected from visits or use of the Site, make corrections, or request removal from systems unless prohibited by law
GPT:  Right to opt out of receiving marketing emails by following the â€œunsubscribeâ€ instructions in each email
GPT:  Right to opt out of Interest-Based Advertising by third parties via opt-out pages of Network Advertising Initiative or Digital Advertising Alliance
GPT:  Right to update privacy preferences.
GPT:  Right to opt-out of interest-based advertising through NA\x1dI or DAA opt-outs.
GPT:  Right to manage the use of cookies and tracking technologies.\n
GPT:  Right to be informed about the collection and use of Contact Communications
GPT:  Right to access and rectify User Account Data
GPT:  Right to privacy in Call Records processing
GPT:  Right to update or correct Recruitment Data
GPT:  Right to object to the processing of Website Interactions Data
GPT:  Right to access and control Online Identifiers and Usage Data
GPT:  Right to revoke consent where NetDocuments processes personal information based on consent
GPT:  Usage Information user right to control cookies and tracking technologies
GPT:  Contact Information user right to unsubscribe from marketing emails
GPT:  Employer and/or other corporate affiliation information user right to influence offers and services through survey participation
GPT:  Item 1 user right: Access personal data NetDocuments processes as a controller
GPT:  Item 2 user right: Revoke consent and request restriction on processing personal data
GPT:  Item 4 user right: Opt-out of direct marketing communications
GPT:  Item 5 user right: Update or delete testimonials or forum contributions
GPT:  Item 6 user right: Exercise additional rights for California residents under California law
GPT:  Item 7 user right: Not to be subject to decisions based solely on automated decision-making
GPT:  Users have the right to request access to the specific pieces of personal data IDGC collects about them.
GPT:  EU residents have the right to have their personal data erased.
GPT:  California consumers have the right to have their personal data deleted and to opt-out of the sale of their personal data.
GPT:  Right to access information provided via forms, surveys, applications
GPT:  Right to correct information about preferences, pages visited, technical information
GPT:  Right to delete IP address, domain name, and system configuration and settings
GPT:  Choices about the collection and use of device and browsing activity information.
GPT:  Right to contact the privacy office with questions or concerns regarding privacy practices.
GPT:  Right to access and update name information
GPT:  Right to unsubscribe from email publications and manage email-based communications
GPT:  Right to opt-out of mobile text alerts and manage communication preferences
GPT:  Identifiers user right to update, modify, delete or obtain a copy.
GPT:  Your signature, education, and employment history user right to update, modify, delete or obtain a copy.
GPT:  Tenant Identification Information user right to access.
GPT:  Geolocation Information user right to opt-out of collection.
GPT:  Email Address user right to update or correct.
GPT: -5.11 Users have the right to obtain their Customer Information upon request.
GPT:  Users have the right to opt-out of marketing communications and limit the use of their information for advertising purposes
GPT:  Users have rights under federal law, including the Cable Communications Policy Act and the Communications Act, to protect personally identifiable information and CPNI
GPT:  Personal Information user right: access, update, delete, or restrict processing.
GPT:  Demographic Information user right: Opt-out of marketing uses.
GPT: . Usage Information user right: Control through browser settings and opt-out options for tracking technologies.
GPT:  Contact information user right: Access and rectification or correction.
GPT:  Household income user right: Deletion under certain circumstances.
GPT:  Geo-location user right: Data portability under applicable laws.
GPT:  Preferences and shopping interests user right: Access and rectification or correction.
GPT:  Viewing behavior user right: Deletion under certain circumstances.
GPT:  Request access to your personal data
GPT:  Request correction of your personal data
GPT:  Object to processing of your personal data
GPT:  Request transfer of your personal data
GPT:  Withdraw consent
GPT:  Contact information user right: Right to access, review, update, and correct inaccuracies.
GPT:  Username and password user right: Right to update or modify.
GPT:  Right to opt-out of profiling in furtherance of decisions that produce legal or similarly significant effects.
GPT:  Right to access the email address
GPT:  Right to ensure billing information and credit card details are accurate and up to date
GPT:  Right to object to the processing of their unique online identifiers
GPT:  Right of California residents to additional privacy rights as detailed in the California Privacy Notice.
GPT:  Right to be informed of third-party data sharing and usage practices.
GPT:  Contact information user right to access and correct
GPT:  Financial and bank account information user right to access and correct
GPT:  Social security number, date of birth, name, address, email address, phone number, including mobile phone number user right to access and correct
GPT:  Credit, debit, or payment card information user right to access and correct
GPT:  Credit or debt history regarding creditworthiness or credit history user right to access and correct
GPT:  Health and benefits information user right to access and correct
GPT:  Employment history and application information user right to access and correct
GPT:  Other personal information as needed to provide specific Services user right to access and correct
GPT:  Users have the right to object to and restrict processing of their browsing activities and device information.
GPT:  Users have the right to access, rectify, and erase their geo-location information.
GPT:  Name user right not specified
GPT:  Email address user right not specified
GPT:  Payment information user right not specified
GPT:  Users have the right to review and update their personal information by logging in to the relevant portions of the Services or contacting the specified email address.
GPT:  Users have rights established through the Colorado Privacy Act, Connecticut Data Privacy Act, Utah Consumer Privacy Act, and Virginia Consumer Data Protection Act, including the right to know/access, correction, deletion, portability, opt-out, and in certain cases, the right to appeal decisions regarding their data requests.
GPT:  Personal Information user right includes right to opt-out, modify, verify, correct, or delete
GPT:  Payment Information user right includes right to secure transactions and privacy of financial data
GPT:  Usage Information user right includes ability to manage cookie settings and opt out of certain data collection practices
GPT:  First and last name user right
GPT:  Gender or preferred pronouns user right
GPT:  E-mail address user right
GPT:  Academic Institution user right
GPT:  Username and password user right
GPT:  Geographic information user right
GPT:  Profile information user right
GPT:  Phone or mobile number user right
GPT:  Payment card information user right
GPT:  Imported profile information from third-party websites user right
GPT:  Information from Academic Institutions to register your profile user right
GPT:  In application messages or discussion group comments user right
GPT:  Date of birth user right
GPT:  Submitted content user right
GPT:  Data types described in the Ed-Fi Data Standard user right
GPT:  Video images and voice recordings user right
GPT:  Content and files user right
GPT:  IP addresses user right to request access and deletion
GPT:  Internet browser type user right to request correction and opt-out of sale
GPT:  Geographic location user right to non-discrimination for exercising privacy rights
GPT:  Right to know user right
GPT:  Right to access user right
GPT:  Right to correct user right
GPT:  Right to delete user right
GPT:  Name user right is not specified
GPT:  Email address user right is not specified
GPT:  Telephone number user right is not specified
GPT:  Social media user names user right is not specified
GPT:  Zip code user right is not specified
GPT:  IP addresses user right is not specified
GPT:  Duration of website visit user right is not specified
GPT:  Articles clicked user right is not specified
GPT:  Advertisements interacted with user right is not specified
GPT:  Equipment used to access the website user right is not specified
GPT:  Usage details user right is not specified
GPT:  Users have the right to opt-out of receiving communications and sharing information with third parties.
GPT:  Right to limit ad tracking on mobile applications for personalized advertising.
GPT:  Item 1 user right: Right to request access to their personal data, and to obtain correction, deletion of said data, or to limit/oppose its processing.
GPT:  Item 2 user right: Right to data portability.
GPT:  Item 3 user right: Right to withdraw consent at any time for data processed after explicit consent, without affecting the lawfulness of processing based on consent before withdrawal.
GPT:  Users have the right to access their Personal Identifiers and request correction, deletion, or portability of their data.
GPT:  Users have the right to object to the processing of their Internet Activity data or request limitations on its use.
GPT:  Users have the right to access and correct Commercial Information.
GPT:  Users have the right to dispute inaccurate Financial Information.
GPT:  Users can control the collection and use of Cookie data through browser settings and can opt out of third-party cookies.
GPT:  Users have the right to opt-out of the sale of their Internet Activity to third parties.
